UniqueSale,Parcel_No,SalePrice,LivingArea,LAND_SF,YR_BUILT,YR_REMOD,Last_Work,NewlyRemodeled,GROSS_AREA,LIVING_ARE,NUM_FLOORS,R_TOTAL_RM,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,SaleSeason,SaleMonth,Style,ZIPCODE,PTYPE,OWN_OCC,LU,STRUCTURE_,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,HEAT_SYS,C_AC,Latitude_1,Longitud_1,FeetToParks,Neighborhood,WalkScore,TransitSco,BikeScore,FeetToMetro,MEDHHINC,PCTBACHMOR,PCTOWNEROC,PCTVACANT,PCTWHITE,CrimeIndex,NearUni,SchoolGrade,DistToCBD,NearImpBldg,NearCommonwealth,DistToPoor,NearAP,Ave_SalePr,Dist_AP,Dist_SC,Dist_Major_Road
306,700650000,710000,2076,1812,1888,0,1888,0,3038,2076,3,9,4,3,0,2,0,Winter,Feb,Semi Det,2127,104,0,R2,R,SD,F,W,1,0,42.32984,-71.05378,371,South Boston,75,60,83,871,73125,68,37,14,89,5,0,2,12383,0,0,294,0,533700,16038.14137,1769.33487,1528.870284
307,700886000,455000,1042,1650,1900,2003,2003,0,1728,1042,1.5,7,4,1,1,1,0,Winter,Feb,Conventional,2127,101,0,R1,R,CV,G,M,1,0,42.335112,-71.048082,440,South Boston,75,60,83,3017,81397,60,35,8,96,5.33,0,1,13229,0,0,1165,0,800300,13584.42154,1188.205574,3890.777415
308,700912000,505000,1422,973,1890,2005,2005,0,2301,1422,2,6,3,1,1,1,0,Winter,Jan,Semi Det,2127,101,0,R1,R,SD,M,A,1,1,42.33543,-71.04893,377,South Boston,75,60,83,2913,81397,60,35,8,96,5.33,0,1,13151,0,0,1118,0,790300,13616.33205,1170.418778,3764.356923
309,700931000,625000,2418,1587,1890,0,1890,0,3104,2418,3,12,5,2,0,1,0,Fall,Nov,Conventional,2127,101,1,R1,R,CV,M,F,1,0,42.33544,-71.04784,573,South Boston,75,60,83,3142,81397,60,35,8,96,5.33,0,1,10688,0,0,1297,0,766300,13448.6198,1235.168363,4011.543821
310,700956000,696500,1592,784,1890,0,1890,0,2252,1704,3,6,4,2,1,1,1,Summer,Jul,Row End,2127,101,0,R1,R,RE,F,M,1,0,42.33569,-71.04862,504,South Boston,75,60,83,3039,81397,60,35,8,96,5.33,0,1,11521,0,0,1201,0,752000,13490.78451,1210.859677,3887.115014
311,700982000,0,1936,1771,1880,0,1880,0,3700,1936,2,9,4,1,1,1,0,Summer,Jul,Colonial,2127,101,1,R1,R,CL,G,M,1,0,42.33396,-71.0448,200,South Boston,75,60,83,3580,97068,47,34,7,94,4.04,0,2,42036,0,0,1214,0,872400,13481.27048,1228.707871,4378.964616
312,700997000,640000,1910,1495,1890,1997,1997,0,3154,1368,2,7,4,1,1,1,0,Spring,Apr,Colonial,2127,101,1,R1,R,CL,G,M,1,0,42.33408,-71.0451,197,South Boston,75,60,83,3523,97068,47,34,7,94,4.04,0,2,11114,0,0,1206,0,872400,13483.11283,1226.735254,4336.749032
313,701153000,565920,1714,1330,1890,0,1890,0,2496,1468,2,8,4,1,1,1,2,Winter,Dec,Semi Det,2127,101,1,R1,R,SD,G,M,1,1,42.33322,-71.05003,315,South Boston,75,60,83,2193,99875,60,2,9,96,5.06,0,1,11482,0,0,299,0,594800,14450.11687,756.7466691,3069.836415
314,701185000,503000,821,944,1900,2004,2004,0,1449,821,1.5,5,2,1,0,1,0,Summer,Jul,Conventional,2127,101,1,R1,R,CV,G,M,1,0,42.332301,-71.049916,606,South Boston,75,60,83,2069,99875,60,2,9,96,5.06,0,1,11773,0,0,61,0,579184,14713.34539,751.4864732,2900.943001
315,701206000,590000,1428,1343,1900,1960,1960,0,2380,1428,2,7,3,1,0,1,0,Winter,Feb,Row Middle,2127,101,1,R1,R,RM,G,W,1,0,42.3328,-71.05022,471,South Boston,75,60,83,2073,99875,60,2,9,96,5.06,0,1,11644,0,0,149,0,582384,14606.05652,758.5281829,2938.855446
316,701214000,0,2822,1300,1910,1992,1992,0,3753,2822,3,16,6,4,0,3,0,Fall,Nov,Decker,2127,105,1,R3,R,DK,F,M,1,0,42.332822,-71.049366,394,South Boston,75,60,83,2283,99875,60,2,9,96,5.06,0,1,41418,0,0,302,0,531784,14473.19879,746.8881251,3131.769073
317,701220000,740000,2088,2187,1890,0,1890,0,2712,2088,3,10,4,2,0,2,0,Summer,Jul,Conventional,2127,104,1,R2,R,CV,M,M,1,0,42.33256,-71.049178,491,South Boston,75,60,83,2290,99875,60,2,9,96,5.06,0,1,11309,0,0,257,0,531784,14526.32523,749.7168268,3118.23567
318,701263000,650000,1962,2125,1880,0,1880,0,2858,1962,3,12,6,3,1,2,0,Spring,Apr,Conventional,2127,104,1,R2,R,CV,F,M,1,0,42.33209,-71.04837,399,South Boston,75,60,83,2437,99875,60,2,9,96,5.06,0,1,11406,0,0,268,0,652000,14556.6547,803.2106369,3197.532626
319,701275000,350000,952,1379,1905,0,1905,0,1458,972,2,5,2,1,0,1,0,Summer,Aug,Colonial,2127,101,1,R1,R,CL,G,M,1,0,42.33133,-71.04844,362,South Boston,75,60,83,2352,99875,60,2,9,96,5.06,0,2,11655,0,0,36,0,885400,14803.73426,886.1041655,3025.720905
320,701307000,0,3357,2160,1910,0,1910,0,4836,3357,3,15,6,2,0,2,0,Fall,Sep,Semi Det,2127,104,1,R2,R,SD,F,M,0,0,42.33239,-71.047622,169,South Boston,75,60,83,2663,99875,60,2,9,96,5.06,0,2,41260,0,0,416,0,652000,14358.67441,837.4962075,3426.241468
321,701319000,1087000,2244,2550,1910,2010,2010,1,3586,2244,3,15,5,3,1,3,0,Spring,May,Conventional,2127,105,0,R3,C,CV,F,M,1,0,42.33153,-71.04759,381,South Boston,75,60,83,2591,99875,60,2,9,96,5.06,0,2,12182,0,0,102,0,676600,14624.35866,916.3812727,3256.529386
322,701382000,433000,1206,1056,1890,2004,2004,0,1344,1206,2,6,2,1,1,1,0,Winter,Feb,Row Middle,2127,101,0,R1,R,RM,F,M,1,0,42.33139,-71.04642,302,South Boston,75,60,83,2894,56842,51,34,6,95,4.1,0,2,12640,0,0,274,0,807400,14512.61163,1046.212343,3488.71207
323,701397000,580000,1686,889,1890,2006,2006,1,2592,1686,3,9,4,2,0,1,0,Summer,Jun,Row End,2127,101,0,R1,R,RE,F,M,1,0,42.331675,-71.047107,267,South Boston,75,60,83,2730,56842,51,34,6,95,4.1,0,2,12422,0,0,175,0,778000,14513.31294,937.3265149,3394.139319
324,701410000,1370000,3613,5080,1890,2002,2002,0,3919,3613,3,17,6,4,0,3,0,Winter,Jan,Decker,2127,105,1,R3,R,DK,F,M,1,0,42.33088,-71.04723,183,South Boston,75,60,83,2652,56842,51,34,6,95,4.1,0,2,13019,0,0,46,0,620000,14781.65866,1059.924654,3202.989164
325,701663000,650000,1180,990,1900,2009,2009,1,1605,1180,2,5,2,2,1,1,0,Summer,Jun,Semi Det,2127,101,0,R1,R,SD,F,M,1,1,42.33288,-71.04238,818,South Boston,75,60,83,4075,95595,53,31,5,98,3.45,0,2,13032,0,0,1486,0,794300,13526.08438,1388.435597,4696.3256
326,701672000,584000,1259,798,1873,2005,2005,0,1410,1259,2,5,3,2,1,1,0,Spring,May,Semi Det,2127,101,1,R1,R,SD,F,M,1,1,42.33289,-71.04183,879,South Boston,75,60,83,4221,95595,53,31,5,98,3.45,0,2,13571,0,0,1625,0,656500,13458.1565,1446.315437,4820.617037
327,701735000,0,1236,1092,1900,0,1900,0,1947,1266,2,6,3,1,0,1,0,Winter,Dec,Row End,2127,101,1,R1,R,RE,F,M,1,0,42.33337,-71.04164,995,South Boston,75,60,83,4315,95595,53,31,5,98,3.45,0,4,41672,0,0,1743,0,645300,13278.18082,1435.207633,4879.237914
328,701740000,640000,1266,1072,1915,0,1915,0,1923,1266,2,6,3,1,0,1,0,Fall,Nov,Row End,2127,101,0,R1,R,RE,F,M,1,0,42.33311,-71.04163,958,South Boston,75,60,83,4293,95595,53,31,5,98,3.45,0,4,13126,0,0,1705,0,645300,13362.52396,1450.85499,4910.737811
329,701786000,587500,1266,1057,1900,0,1900,0,1899,1266,2,6,3,1,1,1,0,Summer,Aug,Row Middle,2127,101,1,R1,R,RM,F,M,1,0,42.33369,-71.04165,991,South Boston,75,60,83,4217,95595,53,31,5,98,3.45,0,4,11804,0,0,1795,0,806800,13174.29685,1425.2984,4764.098159
330,701835000,825000,3567,2001,1905,0,1905,0,4764,3567,3,17,8,3,0,3,0,Fall,Sep,Decker,2127,105,1,R3,R,DK,F,P,1,0,42.33451,-71.04196,970,South Boston,75,60,83,3999,95595,53,31,5,98,3.45,0,4,11841,0,0,1894,0,892500,12943.51477,1425.536435,4481.45439
331,702036000,820000,1876,1575,1900,0,1900,0,2632,1876,3,8,4,1,0,1,0,Spring,Mar,Semi Det,2127,101,1,R1,R,SD,M,W,1,0,42.33052,-71.03747,276,South Boston,75,60,83,4950,105156,45,36,5,98,4.25,0,4,11924,0,0,2683,0,757200,13805.37306,1946.013083,5341.770766
332,702221000,880000,2904,1143,1899,0,1899,0,3854,2904,3,14,6,3,0,3,0,Fall,Sep,Semi Det,2127,105,1,R3,R,SD,F,P,1,0,42.33277,-71.03915,847,South Boston,75,60,83,4262,140299,84,51,6,98,3,0,4,11939,0,0,2303,0,676600,13202.9863,1591.886764,5043.104027
333,702298000,750000,1896,1301,1899,1985,1985,0,2640,1896,3,10,5,2,0,2,1,Fall,Nov,Row Middle,2127,101,0,R1,R,RM,M,B,1,0,42.33294,-71.03717,779,South Boston,75,60,83,4068,67738,48,56,4,98,2.78,0,4,11808,0,0,2839,0,817200,12948.88598,1591.909005,4985.858765
334,702313000,1000000,2953,1318,1905,0,1905,0,4243,2953,3,15,6,3,0,3,0,Summer,Jun,Semi Det,2127,105,0,R3,R,SD,F,F,1,0,42.33211,-71.03543,731,South Boston,75,60,83,4307,105156,45,36,5,98,2.58,0,4,11709,0,0,3258,0,756600,13079.01129,1758.874344,5327.384765
335,702567000,1200000,3498,3548,1905,0,1905,0,5290,3522,3,17,7,3,0,3,0,Summer,Aug,Decker,2127,105,1,R3,R,DK,F,M,1,0,42.33166,-71.03383,623,South Boston,75,60,83,4462,108571,60,43,8,100,2.04,0,4,13120,0,0,3678,0,712874,13108.70604,1907.67714,5556.183803
336,702591000,530370,1232,1103,1890,0,1890,0,2539,1812,3,10,5,2,0,2,0,Summer,Aug,Semi Det,2127,104,0,R2,R,SD,M,M,1,0,42.33222,-71.03265,650,South Boston,75,60,83,4279,108571,60,43,8,100,2.04,0,4,13106,0,0,4010,0,788400,12826.71849,1938.308726,5422.809237
337,702592000,705000,1812,1102,1905,1978,1978,0,2509,1812,3,7,4,1,1,1,0,Summer,Jun,Semi Det,2127,101,0,R1,R,SD,M,F,1,0,42.33222,-71.03259,641,South Boston,75,60,83,4281,108571,60,43,8,100,2.04,0,4,13179,0,0,4026,0,753474,12822.5417,1942.905686,5426.608707
338,702704000,780000,1776,1708,1910,0,1910,0,2672,1776,2,9,2,2,0,2,0,Fall,Nov,Semi Det,2127,104,1,R2,R,SD,F,M,1,0,42.33213,-71.03098,378,South Boston,75,60,83,4382,92679,57,41,6,96,2,0,4,11407,0,0,4458,0,794674,12749.63951,2075.35062,5576.536391
339,703117000,900000,4153,2662,1905,2000,2000,0,5195,3399,3,15,6,3,0,3,3,Spring,May,Decker,2125,105,1,R3,R,DK,F,M,1,1,42.3234,-71.06009,971,Dorchester,86,81,55,2320,57188,45,30,7,78,5.63,0,2,11257,0,0,1363,0,573400,18938.54633,1612.614729,1151.979893
340,703196000,600000,2490,3500,1910,0,1910,0,4485,2533,2,13,6,2,0,2,0,Winter,Dec,Conventional,2125,104,1,R2,R,CV,G,M,1,0,42.32395,-71.05823,464,Dorchester,86,81,55,1993,57188,45,30,7,78,5.63,0,2,11300,0,0,859,0,760000,18490.94077,1675.531477,624.3160903
341,703249000,948000,2883,1486,1913,2000,2000,0,3988,2883,3,14,6,3,0,3,0,Fall,Oct,Decker,2125,105,0,R3,R,DK,F,M,1,0,42.32528,-71.05896,476,Dorchester,86,81,55,1845,57188,45,30,7,78,5.63,0,2,11176,0,0,681,0,611800,18201.34127,1917.543692,507.2276536
342,703564000,470000,2157,2297,1883,0,1883,0,2878,2157,3,7,3,2,0,2,0,Summer,Jun,Row Middle,2125,104,1,R2,R,RM,F,B,1,0,42.32163,-71.06155,417,Dorchester,86,81,55,2512,66397,27,31,8,75,5.84,0,5,11994,0,0,2093,0,569800,19693.8094,1569.907888,1843.349339
343,703704000,399000,2638,4516,1910,0,1910,0,4157,2638,2,12,6,2,0,2,0,Fall,Nov,Two Fam Stack,2125,104,1,R2,R,TF,H,F,1,0,42.32087,-71.06361,565,Dorchester,86,81,55,3045,49286,18,28,10,17,6.41,0,5,11933,0,0,2689,0,574000,20239.2304,1823.39015,2459.696374
344,703751000,450000,3642,2248,1905,1987,1987,0,5044,3642,3,15,8,3,0,3,0,Winter,Dec,Decker,2125,105,0,R3,R,DK,F,M,1,0,42.31999,-71.06353,479,Dorchester,86,81,55,3032,49286,18,28,10,17,6.41,0,5,12018,0,0,2894,0,464000,20489.68799,1816.846808,2620.431973
345,703796000,500000,3129,2533,1907,1998,1998,0,5218,3129,2.5,17,8,3,0,3,0,Spring,May,Conventional,2125,105,0,R3,R,CV,G,A,1,0,42.31877,-71.06373,303,Dorchester,86,81,55,3151,49286,18,28,10,17,6.41,0,5,12354,0,0,3206,0,454000,20887.15511,1869.874917,2858.60177
346,703857020,0,4095,2413,1900,2004,2004,0,6132,4095,3,18,9,3,0,3,0,Summer,Aug,Semi Det,2125,105,0,R3,R,SD,F,F,1,0,42.31846,-71.06617,246,Dorchester,86,81,55,3820,49286,18,28,10,17,6.41,0,5,41408,0,0,3513,0,437106,21356.09613,2232.861824,3504.623256
347,800059000,245000,2302,3599,1883,1994,1994,0,3780,2302,2,12,6,2,0,2,0,Summer,Jun,Conventional,2125,104,0,R2,R,CV,G,M,1,0,42.32037,-71.06967,263,Dorchester,86,81,55,4685,26625,14,24,5,13,6.19,0,1,12164,0,0,3177,0,430106,21369.16972,1707.679716,3907.814016
348,800078000,425532,3826,3380,1890,0,1890,0,5191,3826,3,15,6,3,0,3,0,Fall,Sep,Decker,2125,105,1,R3,R,DK,F,M,1,0,42.32034,-71.07007,205,Dorchester,86,81,55,4793,26625,14,24,5,13,6.19,0,1,12183,0,0,3068,0,394000,21445.26323,1641.907518,4004.371425
349,800322000,430000,3810,2340,1885,0,1885,0,5528,3810,3,15,9,3,0,3,0,Fall,Sep,Decker,2119,105,0,R3,R,DK,F,M,1,0,42.32207,-71.0702,249,Roxbury,90,97,85,4598,35345,10,43,10,10,7.32,0,1,12284,0,0,3126,0,351106,20979.82075,1478.82895,3677.14395
350,800464000,360000,2745,1885,1905,0,1905,0,3948,2745,3,11,5,3,0,3,0,Fall,Oct,Decker,2119,105,1,R3,R,DK,F,M,0,0,42.32524,-71.06916,22,Roxbury,90,97,85,3746,26979,12,0,8,41,8.48,0,2,12484,0,0,3353,0,365106,19920.10761,1780.2509,2794.239668
351,800653000,305000,1403,2100,1900,1990,1990,0,1949,1403,2,6,3,2,0,1,0,Summer,Jul,Colonial,2119,101,0,R1,R,CL,M,M,1,0,42.3251,-71.07217,228,Roxbury,90,97,85,3549,26979,12,0,8,41,8.48,0,2,12755,0,0,3011,0,454000,20504.88965,1369.813685,3494.278687
352,802583000,660000,3708,1441,1890,0,1890,0,4958,3708,3,14,8,3,0,3,0,Spring,May,Row End,2119,105,0,R3,R,RE,F,B,1,0,42.32559,-71.07794,349,Roxbury,90,97,85,2169,28378,26,1,1,13,9.07,0,1,12406,0,0,1864,0,550000,21476.02316,1551.860273,4410.571302
353,802584000,635000,3708,1467,1890,1998,1998,0,4958,3708,3,14,8,3,3,3,0,Summer,Jul,Row Middle,2119,105,0,R3,R,RM,F,B,1,0,42.32554,-71.078,325,Roxbury,90,97,85,2170,28378,26,1,1,13,9.07,0,1,12717,0,0,1862,0,555000,21500.33913,1560.867721,4415.407976
354,802586000,625000,3708,1470,1890,1998,1998,0,4958,3708,3,14,8,3,0,3,0,Summer,Jul,Row End,2119,105,0,R3,R,RE,F,B,1,0,42.32544,-71.07814,274,Roxbury,90,97,85,2169,28378,26,1,1,13,9.07,0,1,12821,0,0,1831,0,557000,21552.88681,1568.515171,4422.283863
355,802736000,410000,2028,4700,1890,2012,2012,1,3457,2028,2,9,3,2,0,2,0,Summer,Jul,Conventional,2119,104,0,R2,R,CV,G,W,1,0,42.32625,-71.07667,253,Roxbury,90,97,85,2287,35694,38,6,4,15,8.43,0,2,12687,0,0,2033,0,585000,21061.55885,1446.877637,4272.629453
356,802764000,0,2232,1760,1890,1985,1985,0,2976,2232,3,9,6,3,0,2,0,Fall,Sep,Row Middle,2119,104,1,R2,R,RM,M,B,1,0,42.32566,-71.07762,424,Roxbury,90,97,85,2215,35694,38,6,4,15,8.43,0,1,42002,0,0,1919,0,550000,21395.81345,1536.580984,4443.133485
357,802926000,650000,2821,8060,1890,2012,2012,1,4632,2821,2.5,12,6,3,0,3,0,Fall,Sep,Conventional,2119,105,0,R3,R,CV,G,M,1,0,42.32386,-71.077215,247,Roxbury,90,97,85,2766,35694,38,6,4,15,8.43,0,1,12967,0,0,1648,0,537000,21776.97166,1579.951647,4871.290174
358,803019001,567500,2968,3736,1890,2001,2001,0,4540,2719,2,8,6,2,0,2,0,Fall,Oct,Conventional,2125,104,0,R2,R,CV,G,M,1,0,42.32072,-71.0761,357,Roxbury,90,97,85,3873,52361,9,34,7,15,6.81,0,3,12540,0,0,1463,0,396200,22399.13891,1339.216968,5270.049446
359,901896000,0,1234,1284,1890,0,1890,0,1362,1130,2,6,3,2,0,1,0,Summer,Jul,Row End,2120,101,1,R1,R,RE,F,B,1,0,42.33546,-71.08368,197,Roxbury,90,97,85,1157,27857,24,1,2,28,8.81,1,1,42528,0,0,241,0,3524000,20451.53261,1908.833431,887.5812692
360,903191000,685000,4158,7040,1899,2005,2005,0,6922,4158,2.5,12,6,4,0,3,0,Spring,Apr,Conventional,2119,105,0,R3,R,CV,G,M,1,0,42.328257,-71.0881,526,Roxbury,90,97,85,1298,9756,36,3,2,15,7.48,1,1,12578,0,0,0,0,712400,22942.36096,1252.997963,2030.106951
361,903226000,740000,2790,1316,1890,0,1890,0,3720,2790,3,15,6,3,0,3,0,Winter,Jan,Row Middle,2119,105,0,R3,R,RM,F,B,1,0,42.32889,-71.08772,430,Roxbury,90,97,85,1123,9756,36,3,2,15,7.48,1,7,12425,0,0,0,0,716400,22721.55516,1158.561215,1904.08612
362,903232000,0,2607,1540,1900,0,1900,0,3362,2475,3,15,9,3,0,3,0,Winter,Dec,Row Middle,2119,105,0,R3,C,RM,F,B,1,0,42.3291,-71.08759,428,Roxbury,90,97,85,1071,9756,36,3,2,15,7.48,1,7,42375,0,0,0,0,716400,22647.59602,1120.604859,1862.766306
363,903604000,772000,2772,2540,2006,0,2006,0,3831,2772,3,11,6,3,0,2,0,Winter,Dec,Conventional,2119,104,0,R2,R,CV,G,F,0,0,42.328315,-71.090694,272,Roxbury,90,97,85,1714,35909,31,42,12,20,7,1,1,12516,0,0,383,0,710000,23493.07641,1011.715723,1484.451814
364,903676000,720000,3362,4558,1900,1995,1995,0,4370,3362,3,13,6,3,0,3,0,Fall,Sep,Semi Det,2119,105,1,R3,R,SD,M,B,1,0,42.3276,-71.09126,130,Roxbury,90,97,85,1754,35909,31,42,12,20,7,1,1,12312,0,0,679,0,697400,23770.4486,1103.601901,1497.974681
365,903730000,725000,2952,1514,1890,2004,2004,0,3936,2952,3,18,9,3,0,3,0,Spring,Mar,Semi Det,2119,105,0,R3,R,SD,F,B,1,0,42.326811,-71.090105,63,Roxbury,90,97,85,2026,35909,31,42,12,20,7,1,6,12002,0,0,689,0,700400,23692.8618,1218.984021,1903.552496
366,903743000,680000,3776,7867,1900,0,1900,0,5342,3776,2.5,11,6,3,0,2,0,Summer,Jun,Conventional,2119,104,1,R2,R,CV,G,F,1,0,42.32598,-71.0893,220,Roxbury,90,97,85,2033,35909,31,42,12,20,7,1,6,13769,0,0,819,0,709400,23706.4064,1390.909246,2225.43269
367,903766000,645000,1875,2944,1880,2004,2004,0,1532,1434,2,6,2,1,0,1,0,Summer,Jun,Colonial,2119,101,1,R1,R,CL,G,P,1,0,42.32508,-71.08839,210,Roxbury,90,97,85,2109,35909,31,42,12,20,7,1,6,12843,0,0,1051,0,614000,23719.67979,1428.336694,2566.673952
369,1000101000,1275000,3254,1600,1900,2012,2012,1,3571,3444,3,19,11,6,0,3,0,Fall,Oct,Row Middle,2120,105,0,R3,R,RM,F,B,1,1,42.33458,-71.10257,486,Mission Hill,88,97,84,312,57868,49,22,4,77,4.44,1,9,13434,0,0,790,0,1596000,25026.36905,1209.116237,116.3322162
370,1000501000,1550000,2982,1990,1905,2007,2007,1,4134,2982,3,19,12,4,0,3,0,Summer,Aug,Decker,2120,105,0,R3,R,DK,F,M,1,1,42.33089,-71.09773,172,Mission Hill,88,97,84,467,54669,49,5,1,77,5.68,1,1,13759,0,0,869,0,1194800,24551.18881,1011.192434,569.4391135
371,1000574000,1150000,3088,2430,1905,1975,1975,0,4254,3088,3,18,9,3,0,3,0,Fall,Sep,Decker,2120,105,1,R3,R,DK,F,M,1,0,42.33219,-71.1004,177,Mission Hill,88,97,84,1252,54669,49,5,1,77,5.68,1,1,13711,0,0,1185,0,1393000,24929.30726,1033.143436,1155.537378
372,1000586000,1500000,3312,2818,1900,2011,2011,1,4416,3312,3,18,11,3,0,3,0,Spring,May,Decker,2120,105,0,R3,R,DK,F,M,1,0,42.33125,-71.09955,187,Mission Hill,88,97,84,969,54669,49,5,1,77,5.68,1,1,13719,0,0,1174,0,1204800,24903.95964,1041.209862,1066.131639
373,1000591000,1030000,2726,3084,1900,2011,2011,1,4080,2726,2.5,14,7,2,0,2,0,Summer,Jul,Conventional,2120,104,0,R2,R,CV,G,F,1,0,42.33102,-71.09895,115,Mission Hill,88,97,84,798,54669,49,5,1,77,5.68,1,1,13945,0,0,1109,0,1298800,24808.03189,1029.436807,883.532022
374,1000594000,1369000,3681,2874,1905,0,1905,0,5250,3681,3,15,9,3,0,3,0,Summer,Jul,Decker,2120,105,1,R3,R,DK,F,A,1,0,42.33087,-71.0986,81,Mission Hill,88,97,84,702,54669,49,5,1,77,5.68,1,1,15584,0,0,1089,0,1231000,24755.52854,1014.865846,774.4222916
375,1000684000,1750000,4635,3310,1895,0,1895,0,6330,4635,3,17,8,3,0,3,0,Fall,Oct,Decker,2120,105,0,R3,R,DK,H,B,1,0,42.33133,-71.1022,55,Mission Hill,88,97,84,1255,54669,49,5,1,77,5.68,1,1,15347,0,0,1282,0,1410000,25507.46024,1199.133498,1213.603947
376,1000685000,1760000,4810,3798,1905,0,1905,0,7275,4810,3,14,7,3,1,3,1,Fall,Oct,Decker,2120,105,0,R3,R,DK,G,F,1,0,42.33142,-71.10213,55,Mission Hill,88,97,84,1230,54669,49,5,1,77,5.68,1,1,14876,0,0,1273,0,1408000,25474.69937,1184.16691,1193.196082
377,1000713000,925000,2423,7047,1931,0,1931,0,4799,2423,2,10,4,2,0,2,0,Spring,Apr,Duplex,2120,104,0,R2,R,DX,G,W,1,0,42.33088,-71.10076,85,Mission Hill,88,97,84,1286,54669,49,5,1,77,5.68,1,1,16265,0,0,1518,0,1438000,25254.08043,1130.126098,1301.17384
378,1000769000,1700000,3967,3240,1890,2005,2005,0,6029,3967,3,14,6,4,0,3,0,Fall,Sep,Decker,2120,105,0,R3,R,DK,G,F,1,1,42.33129,-71.10394,248,Mission Hill,88,97,84,1010,57868,49,22,4,77,4.44,1,1,16609,0,0,1001,0,1449000,25923.42238,1386.965444,1006.985349
379,1001183000,600000,1246,4140,1926,2009,2009,1,2835,1246,1,7,2,2,0,1,0,Fall,Sep,Cape,2120,101,0,R1,R,CP,G,W,1,0,42.330293,-71.104434,77,Mission Hill,88,97,84,1304,86339,90,0,28,83,5.25,1,1,16924,0,0,1243,0,1530000,26219.53489,1492.649963,1250.081844
380,1001190000,1515000,4314,3550,1910,2008,2008,1,6642,4314,3,16,12,4,0,3,0,Winter,Feb,Decker,2120,105,0,R3,R,DK,G,M,1,0,42.330692,-71.104497,197,Mission Hill,88,97,84,1159,86339,90,0,28,83,5.25,1,1,17372,0,0,1106,0,1486000,26161.95624,1492.785476,1112.693556
381,1001435000,1602000,4632,2995,1905,1990,1990,0,6634,4632,3.5,18,9,3,0,3,0,Winter,Jan,Decker,2120,105,0,R3,R,DK,G,F,1,0,42.33162,-71.11004,351,Mission Hill,88,97,84,534,39250,52,4,6,52,3.81,1,1,17586,0,0,455,0,1256600,27316.03639,1907.021664,458.5610668
382,1001704000,848000,4314,9269,1900,0,1900,0,5731,4314,3,15,6,3,0,3,0,Summer,Jul,Conventional,2130,105,0,R3,R,CV,M,M,1,0,42.32494,-71.1085,47,Jamaica Plain,82,79,89,1323,80455,59,30,2,67,4.22,1,2,17095,0,0,1111,0,720280,28169.98859,834.0990404,1209.179582
383,1001921000,661800,2398,2800,1915,2000,2000,0,4026,2398,2,10,5,3,0,2,0,Spring,May,Conventional,2130,104,0,R2,R,CV,G,F,1,0,42.32426,-71.10589,386,Jamaica Plain,82,79,89,1659,70192,50,9,4,54,4.97,1,2,17131,0,0,477,0,709716,27712.12894,754.2733067,1953.452463
384,1001929000,495000,1329,1746,1910,0,1910,0,2276,1329,2,6,4,1,0,1,0,Summer,Jul,Colonial,2130,101,0,R1,R,CL,G,W,1,0,42.32453,-71.10696,193,Jamaica Plain,82,79,89,1648,70192,50,9,4,54,4.97,1,2,16527,0,0,733,0,716676,27900.06234,695.251906,1649.079153
385,1001940000,634500,1678,3526,1900,0,1900,0,2419,1408,2,6,3,1,0,1,0,Winter,Jan,Colonial,2130,101,1,R1,R,CL,G,A,1,0,42.32415,-71.10654,368,Jamaica Plain,82,79,89,1822,70192,50,9,4,54,4.97,1,2,15338,0,0,657,0,688776,27880.87951,738.7487632,1793.554173
386,1002040000,675100,2333,3709,1887,0,1887,0,4204,2333,2,10,4,2,0,2,0,Summer,Jun,Conventional,2130,104,0,R2,R,CV,G,A,1,0,42.32324,-71.10687,551,Jamaica Plain,82,79,89,1877,70192,50,9,4,54,4.97,1,2,15610,0,0,764,0,738056,28138.82616,859.9054501,1831.433745
387,1002104000,888000,2572,3631,1925,0,1925,0,3755,2572,2,10,5,2,0,2,2,Fall,Oct,Two Fam Stack,2130,104,0,R2,R,TF,H,A,1,0,42.32274,-71.11368,443,Jamaica Plain,82,79,89,2233,83485,83,39,4,79,2.35,1,2,15978,0,0,2610,0,1097600,29782.51947,1716.595833,483.5807281
388,1002215000,675000,2408,2343,1915,2002,2002,0,4002,2408,2,8,6,2,0,2,0,Fall,Oct,Two Fam Stack,2130,104,1,R2,R,TF,G,F,1,0,42.32226,-71.10132,131,Jamaica Plain,82,79,89,503,58333,56,45,5,52,6.27,1,4,16001,0,0,202,0,807796,27115.01543,1753.188929,754.3853533
389,1002318000,980000,4111,3564,1900,0,1900,0,5471,4111,3,18,9,3,0,3,0,Summer,Jul,Decker,2130,105,1,R3,R,DK,F,M,1,0,42.32397,-71.10428,283,Jamaica Plain,82,79,89,1211,70192,50,9,4,54,4.97,1,4,16050,0,0,58,0,646076,27409.49132,980.9965481,1530.049714
390,1002737000,763980,2150,3196,1900,0,1900,0,3761,2150,2,15,6,3,0,3,0,Summer,Aug,Conventional,2130,105,0,R3,R,CV,G,F,1,0,42.322158,-71.105685,253,Jamaica Plain,82,79,89,1600,79205,55,35,1,65,5.53,1,4,15625,0,0,513,0,707280,28096.92507,997.1880863,1934.089028
